split,tag,y_p1,y_p3,y_p7,y_p15
train,2012-11-01,30.977777,30.200001,27.500000,23.200001
train,2012-11-07,27.500000,25.559999,24.469999,22.340000
train,2012-11-14,25.559999,25.129999,24.080000,21.920000
train,2012-11-21,24.709999,24.340000,22.320000,19.570000
train,2012-11-28,24.709999,24.340000,21.010000,18.544445
train,2012-12-01,24.709999,24.340000,19.570000,18.322222
train,2012-12-07,20.966667,19.570000,19.209999,18.120001
train,2012-12-14,20.360001,19.510000,18.969999,17.730000
train,2012-12-21,20.260000,19.510000,18.969999,17.850000
train,2012-12-28,26.160000,21.879999,19.510000,18.090000
train,2013-01-01,26.160000,21.879999,19.040001,17.990000
train,2013-01-07,26.160000,21.879999,20.260000,17.850000
train,2013-01-14,26.160000,21.879999,21.030001,18.590000
train,2013-01-21,26.160000,21.879999,21.030001,18.260000
train,2013-01-28,27.790001,24.450001,21.030001,18.309999
train,2013-02-01,27.790001,24.450001,21.350000,19.330000
train,2013-02-07,29.200001,25.219999,22.280001,19.730000
train,2013-02-14,35.240002,31.700001,27.129999,21.040001
train,2013-02-21,35.240002,31.700001,28.520000,22.900000
train,2013-02-28,35.240002,31.900000,29.200001,22.900000
train,2013-03-01,35.240002,31.900000,29.200001,25.219999
train,2013-03-07,35.240002,32.000000,30.760000,26.459999
train,2013-03-14,35.240002,32.930000,30.760000,25.330000
train,2013-03-21,33.320000,31.900000,27.910000,25.320000
train,2013-03-28,33.320000,31.639999,28.150000,25.280001
train,2013-04-01,34.730000,33.820000,31.410000,25.280001
train,2013-04-07,34.730000,33.820000,33.410000,27.760000
train,2013-04-14,34.730000,33.820000,33.410000,30.510000
train,2013-04-21,34.730000,33.820000,33.560001,31.209999
train,2013-04-28,37.060001,34.730000,33.740002,31.770000
train,2013-05-01,38.330002,35.669998,33.709999,31.770000
train,2013-05-07,39.189999,37.060001,34.599998,31.209999
train,2013-05-14,39.189999,37.680000,35.669998,31.850000
train,2013-05-21,39.189999,37.680000,35.669998,32.230000
train,2013-05-28,39.189999,37.680000,34.930000,33.540001
train,2013-06-01,39.189999,36.220001,34.540001,33.380001
train,2013-06-07,37.680000,35.549999,33.799999,33.090000
train,2013-06-14,35.549999,34.540001,33.740002,33.240002
